docname,topic,proportion
newsgroups:1746,009,1.0
newsgroups:1781,009,1.0
newsgroups:1816,001,0.634395
newsgroups:1816,003,0.232012
newsgroups:1816,007,0.133593
newsgroups:1851,009,0.635491
newsgroups:1851,001,0.22459
newsgroups:1851,004,0.139918
newsgroups:1886,009,0.383422
newsgroups:1886,001,0.20753
newsgroups:1886,002,0.122462
newsgroups:1886,000,0.079053
newsgroups:1886,003,0.07342
newsgroups:1886,007,0.047003
newsgroups:1886,004,0.04458
newsgroups:1886,019,0.02525
newsgroups:1886,012,0.017281
newsgroups:1921,004,0.410037
newsgroups:1921,001,0.318612
newsgroups:1921,002,0.195015
newsgroups:1921,013,0.076336
newsgroups:1956,009,1.0
newsgroups:1991,009,1.0
newsgroups:2026,019,1.0
newsgroups:2061,013,1.0
newsgroups:2096,004,1.0
newsgroups:2131,009,1.0
newsgroups:2166,010,1.0
newsgroups:2201,003,1.0
newsgroups:2236,003,0.296487
newsgroups:2236,011,0.266929
newsgroups:2236,001,0.208484
newsgroups:2236,002,0.149593
newsgroups:2236,017,0.030917
newsgroups:2236,004,0.026218
newsgroups:2236,012,0.021372
newsgroups:2271,004,1.0
newsgroups:2306,013,1.0
newsgroups:2341,011,1.0
newsgroups:2376,003,1.0
newsgroups:2411,010,0.804946
newsgroups:2411,000,0.195054
newsgroups:2446,009,1.0
newsgroups:2481,003,0.42016
newsgroups:2481,002,0.30272
newsgroups:2481,001,0.074822
newsgroups:2481,004,0.054986
newsgroups:2481,006,0.050288
newsgroups:2481,010,0.029103
newsgroups:2481,007,0.027323
newsgroups:2481,013,0.026971
newsgroups:2481,017,0.013626
newsgroups:2516,013,1.0
newsgroups:2551,009,1.0
newsgroups:2586,013,1.0
newsgroups:2621,009,0.738185
newsgroups:2621,013,0.261815
newsgroups:2656,003,1.0
newsgroups:2691,013,1.0
newsgroups:2726,013,1.0
newsgroups:2761,013,1.0
newsgroups:2796,010,0.831505
newsgroups:2796,003,0.053174
newsgroups:2796,002,0.052093
newsgroups:2796,014,0.04322
newsgroups:2796,012,0.020008
newsgroups:2831,009,0.477889
newsgroups:2831,013,0.265245
newsgroups:2831,003,0.256866
newsgroups:2866,010,1.0
newsgroups:2901,013,1.0
newsgroups:2936,013,1.0
newsgroups:2971,009,0.584276
newsgroups:2971,011,0.177801
newsgroups:2971,013,0.11992
newsgroups:2971,000,0.118003
newsgroups:3006,004,1.0
newsgroups:3041,018,0.752733
newsgroups:3041,003,0.247267
newsgroups:3076,004,1.0
newsgroups:3111,010,1.0
newsgroups:3146,001,0.338929
newsgroups:3146,004,0.249127
newsgroups:3146,013,0.158782
newsgroups:3146,000,0.109736
newsgroups:3146,019,0.066305
newsgroups:3146,002,0.048986
newsgroups:3146,003,0.028135
newsgroups:3181,002,0.227339
newsgroups:3181,003,0.167746
newsgroups:3181,004,0.152371
newsgroups:3181,000,0.113525
newsgroups:3181,001,0.105349
newsgroups:3181,008,0.075605
newsgroups:3181,006,0.072105
newsgroups:3181,013,0.064771
newsgroups:3181,016,0.02119
newsgroups:3216,002,1.0
newsgroups:3251,010,1.0
newsgroups:3286,010,0.379533
newsgroups:3286,007,0.252893
newsgroups:3286,004,0.131133
newsgroups:3286,000,0.12326
newsgroups:3286,002,0.113181
newsgroups:3321,019,1.0
newsgroups:3356,010,1.0
newsgroups:3391,007,1.0
newsgroups:3426,010,1.0
newsgroups:3461,003,0.442378
newsgroups:3461,001,0.29356
newsgroups:3461,004,0.17759
newsgroups:3461,002,0.086472
newsgroups:3496,003,0.330852
newsgroups:3496,004,0.277224
newsgroups:3496,010,0.208119
newsgroups:3496,001,0.183804
newsgroups:3531,003,1.0
newsgroups:3566,010,1.0
newsgroups:3601,010,0.244444
newsgroups:3601,003,0.194963
newsgroups:3601,013,0.137369
newsgroups:3601,004,0.12389
newsgroups:3601,001,0.104216
newsgroups:3601,012,0.088761
newsgroups:3601,000,0.066976
newsgroups:3601,002,0.039382
newsgroups:3636,010,1.0
newsgroups:3671,003,1.0
newsgroups:3706,003,0.544313
newsgroups:3706,010,0.394281
newsgroups:3706,000,0.061406
newsgroups:3741,004,0.316732
newsgroups:3741,007,0.265053
newsgroups:3741,002,0.190459
newsgroups:3741,010,0.155977
newsgroups:3741,003,0.071779
newsgroups:3776,013,0.413405
newsgroups:3776,004,0.347174
newsgroups:3776,011,0.239421
newsgroups:3811,004,1.0
newsgroups:3846,010,0.556924
newsgroups:3846,013,0.443076
newsgroups:3881,004,1.0
newsgroups:3916,018,0.595524
newsgroups:3916,003,0.120453
newsgroups:3916,001,0.116419
newsgroups:3916,019,0.068916
newsgroups:3916,005,0.047422
newsgroups:3916,007,0.035828
newsgroups:3916,000,0.015438
newsgroups:3951,010,0.406717
newsgroups:3951,004,0.308871
newsgroups:3951,018,0.284412
newsgroups:3986,003,1.0
newsgroups:4021,003,1.0
newsgroups:4056,003,1.0
newsgroups:4091,004,0.467808
newsgroups:4091,000,0.155876
newsgroups:4091,001,0.123472
newsgroups:4091,007,0.105484
newsgroups:4091,013,0.073279
newsgroups:4091,002,0.063755
newsgroups:4091,016,0.010325
newsgroups:4126,003,0.424835
newsgroups:4126,001,0.228119
newsgroups:4126,018,0.179065
newsgroups:4126,004,0.090814
newsgroups:4126,014,0.057935
newsgroups:4126,002,0.019231
newsgroups:4161,011,1.0
newsgroups:4196,001,1.0
newsgroups:4231,004,1.0
newsgroups:4266,004,1.0
newsgroups:4301,004,1.0
newsgroups:4336,007,0.402938
newsgroups:4336,002,0.26424
newsgroups:4336,003,0.185586
newsgroups:4336,012,0.084207
newsgroups:4336,001,0.063029
newsgroups:4371,000,0.49474
newsgroups:4371,001,0.311486
newsgroups:4371,002,0.193773
newsgroups:4406,004,1.0
newsgroups:4441,004,1.0
newsgroups:4476,018,0.216235
newsgroups:4476,007,0.201447
newsgroups:4476,003,0.19909
newsgroups:4476,011,0.176805
newsgroups:4476,002,0.11462
newsgroups:4476,001,0.091803
newsgroups:4511,001,1.0
newsgroups:4546,004,1.0
newsgroups:4581,014,0.262005
newsgroups:4581,018,0.247232
newsgroups:4581,001,0.21866
newsgroups:4581,003,0.137189
newsgroups:4581,007,0.134914
newsgroups:4616,001,1.0
newsgroups:4651,004,1.0
newsgroups:4686,007,0.348186
newsgroups:4686,004,0.257592
newsgroups:4686,018,0.212849
newsgroups:4686,003,0.181373
newsgroups:4721,004,1.0
newsgroups:4756,003,0.527955
newsgroups:4756,018,0.472045
newsgroups:4791,018,1.0
newsgroups:4826,003,1.0
newsgroups:4861,000,1.0
newsgroups:4896,018,0.401689
newsgroups:4896,003,0.184527
newsgroups:4896,002,0.149101
newsgroups:4896,016,0.145094
newsgroups:4896,005,0.119588
newsgroups:4931,007,1.0
newsgroups:4966,010,1.0
newsgroups:5001,004,0.513124
newsgroups:5001,013,0.312494
newsgroups:5001,001,0.095873
newsgroups:5001,019,0.078509
newsgroups:5036,003,1.0
newsgroups:5071,001,1.0
newsgroups:5106,003,0.322006
newsgroups:5106,004,0.303752
newsgroups:5106,009,0.203463
newsgroups:5106,011,0.170779
newsgroups:5141,003,1.0
newsgroups:5176,007,1.0
newsgroups:5211,001,1.0
newsgroups:5246,001,1.0
newsgroups:5281,009,1.0
newsgroups:5316,016,1.0
newsgroups:5351,002,1.0
newsgroups:5386,000,1.0
newsgroups:5421,010,1.0
newsgroups:5456,001,1.0
newsgroups:5491,013,1.0
newsgroups:5526,013,0.434189
newsgroups:5526,003,0.263132
newsgroups:5526,004,0.179125
newsgroups:5526,006,0.06276
newsgroups:5526,001,0.060794
newsgroups:5561,013,1.0
newsgroups:5596,001,0.357308
newsgroups:5596,003,0.275972
newsgroups:5596,011,0.136826
newsgroups:5596,013,0.131539
newsgroups:5596,000,0.09296
newsgroups:5596,009,0.005395
newsgroups:5631,004,1.0
newsgroups:5666,000,0.451004
newsgroups:5666,001,0.372715
newsgroups:5666,003,0.116368
newsgroups:5666,005,0.059913
newsgroups:5701,013,0.309751
newsgroups:5701,009,0.163066
newsgroups:5701,003,0.157679
newsgroups:5701,004,0.11502
newsgroups:5701,001,0.113416
newsgroups:5701,011,0.055952
newsgroups:5701,017,0.034915
newsgroups:5701,006,0.017073
newsgroups:5701,000,0.01669
newsgroups:5701,016,0.009061
newsgroups:5736,013,1.0
newsgroups:5771,013,1.0
newsgroups:5806,003,1.0
newsgroups:5841,013,0.441235
newsgroups:5841,009,0.267356
newsgroups:5841,003,0.205876
newsgroups:5841,001,0.085533
newsgroups:5876,001,1.0
newsgroups:5911,004,1.0
newsgroups:5946,013,1.0
newsgroups:5981,001,1.0
newsgroups:6016,011,1.0
newsgroups:6051,007,1.0
newsgroups:6086,003,1.0
newsgroups:6121,002,0.727541
newsgroups:6121,005,0.146174
newsgroups:6121,007,0.126286
newsgroups:6156,004,1.0
newsgroups:6191,001,1.0
newsgroups:6226,007,0.494715
newsgroups:6226,003,0.28069
newsgroups:6226,018,0.224595
newsgroups:6261,010,1.0
newsgroups:6296,000,0.248032
newsgroups:6296,002,0.233404
newsgroups:6296,007,0.165756
newsgroups:6296,006,0.131734
newsgroups:6296,004,0.089902
newsgroups:6296,001,0.085735
newsgroups:6296,015,0.045436
newsgroups:6331,007,1.0
newsgroups:6366,002,0.423041
newsgroups:6366,014,0.215443
newsgroups:6366,007,0.126902
newsgroups:6366,001,0.101967
newsgroups:6366,000,0.072391
newsgroups:6366,018,0.060255
newsgroups:6401,018,1.0
newsgroups:6436,012,1.0
newsgroups:6471,007,1.0
newsgroups:6506,007,1.0
newsgroups:6541,002,1.0
newsgroups:6576,010,1.0
newsgroups:6611,007,0.519465
newsgroups:6611,003,0.166272
newsgroups:6611,002,0.164569
newsgroups:6611,014,0.149695
newsgroups:6646,002,1.0
newsgroups:6681,010,1.0
newsgroups:6716,003,1.0
newsgroups:6751,003,0.296151
newsgroups:6751,007,0.289565
newsgroups:6751,014,0.195043
newsgroups:6751,004,0.178964
newsgroups:6751,002,0.040278
newsgroups:6786,002,1.0
newsgroups:6821,003,1.0
newsgroups:6856,002,1.0
newsgroups:6891,002,1.0
newsgroups:6926,007,1.0
newsgroups:6961,014,1.0
newsgroups:6996,007,0.460278
newsgroups:6996,018,0.276285
newsgroups:6996,002,0.132403
newsgroups:6996,004,0.131034
newsgroups:7031,002,0.432349
newsgroups:7031,003,0.288713
newsgroups:7031,014,0.278938
newsgroups:7066,006,1.0
newsgroups:7101,008,1.0
newsgroups:7136,011,1.0
newsgroups:7171,002,0.698199
newsgroups:7171,003,0.301801
newsgroups:7206,014,1.0
newsgroups:7241,012,1.0
newsgroups:7276,001,1.0
newsgroups:7311,000,1.0
newsgroups:7346,007,1.0
newsgroups:7381,000,1.0
newsgroups:7416,002,1.0
newsgroups:7451,002,1.0
newsgroups:7486,014,1.0
newsgroups:7521,019,1.0
newsgroups:7556,000,1.0
newsgroups:7591,011,1.0
newsgroups:7626,002,1.0
newsgroups:7661,001,1.0
newsgroups:7696,002,1.0
newsgroups:7731,003,1.0
newsgroups:7766,007,1.0
newsgroups:7801,001,1.0
newsgroups:7836,002,1.0
newsgroups:7871,014,1.0
newsgroups:7906,014,1.0
newsgroups:7941,012,1.0
newsgroups:7976,002,1.0
newsgroups:8011,014,1.0
newsgroups:8046,014,0.685457
newsgroups:8046,000,0.314543
newsgroups:8081,002,1.0
newsgroups:8116,003,1.0
newsgroups:8151,014,1.0
newsgroups:8186,014,0.551052
newsgroups:8186,002,0.304809
newsgroups:8186,003,0.144139
newsgroups:8221,003,0.311457
newsgroups:8221,018,0.222004
newsgroups:8221,004,0.209422
newsgroups:8221,001,0.138394
newsgroups:8221,000,0.088306
newsgroups:8221,012,0.030418
newsgroups:8256,014,1.0
newsgroups:8291,014,0.465862
newsgroups:8291,002,0.224807
newsgroups:8291,012,0.178146
newsgroups:8291,003,0.131185
newsgroups:8326,002,1.0
newsgroups:8361,014,1.0
newsgroups:8396,002,1.0
newsgroups:8431,008,1.0
newsgroups:8466,014,1.0
newsgroups:8501,003,1.0
newsgroups:8536,002,1.0
newsgroups:8571,002,1.0
newsgroups:8606,014,1.0
newsgroups:8641,007,1.0
newsgroups:8676,003,0.29699
newsgroups:8676,005,0.2651
newsgroups:8676,001,0.184007
newsgroups:8676,002,0.13958
newsgroups:8676,014,0.114323
newsgroups:8711,003,1.0
newsgroups:8746,003,1.0
newsgroups:8781,001,1.0
newsgroups:8816,003,1.0
newsgroups:8851,002,1.0
newsgroups:8886,003,1.0
newsgroups:8921,011,1.0
newsgroups:8956,013,1.0
newsgroups:8991,014,1.0
newsgroups:9026,002,1.0
newsgroups:9061,002,1.0
newsgroups:9096,002,1.0
newsgroups:9131,015,1.0
newsgroups:9166,002,1.0
newsgroups:9201,002,1.0
newsgroups:9236,002,1.0
newsgroups:9271,002,0.86199
newsgroups:9271,001,0.069285
newsgroups:9271,000,0.068726
newsgroups:9306,002,0.5371
newsgroups:9306,015,0.4629
newsgroups:9341,002,1.0
newsgroups:9376,002,1.0
newsgroups:9411,002,1.0
newsgroups:9446,001,1.0
newsgroups:9481,002,1.0
newsgroups:9516,002,1.0
newsgroups:9551,002,0.546002
newsgroups:9551,015,0.453998
newsgroups:9586,004,1.0
newsgroups:9621,002,0.785424
newsgroups:9621,015,0.214576
newsgroups:9656,002,1.0
newsgroups:9691,002,0.56865
newsgroups:9691,015,0.43135
newsgroups:9726,002,1.0
newsgroups:9761,000,1.0
newsgroups:9796,002,1.0
newsgroups:9831,015,1.0
newsgroups:9866,002,1.0
newsgroups:9901,002,1.0
newsgroups:9936,015,1.0
newsgroups:9971,012,1.0
newsgroups:10006,001,1.0
newsgroups:10041,002,1.0
newsgroups:10076,015,1.0
newsgroups:10111,002,1.0
newsgroups:10146,015,0.476597
newsgroups:10146,002,0.304456
newsgroups:10146,003,0.218947
newsgroups:10181,003,1.0
newsgroups:10216,002,1.0
newsgroups:10251,015,1.0
newsgroups:10286,002,1.0
newsgroups:10321,015,0.493195
newsgroups:10321,002,0.403982
newsgroups:10321,003,0.102823
newsgroups:10356,000,1.0
newsgroups:10391,002,1.0
newsgroups:10426,002,0.42213
newsgroups:10426,015,0.389098
newsgroups:10426,005,0.188772
newsgroups:10461,015,0.498987
newsgroups:10461,002,0.219923
newsgroups:10461,000,0.131362
newsgroups:10461,014,0.097467
newsgroups:10461,003,0.052261
newsgroups:10496,002,1.0
newsgroups:10531,015,1.0
newsgroups:10566,015,0.518318
newsgroups:10566,000,0.225071
newsgroups:10566,002,0.211329
newsgroups:10566,004,0.045282
newsgroups:10601,002,1.0
newsgroups:10636,015,1.0
newsgroups:10671,012,1.0
newsgroups:10706,002,1.0
newsgroups:10741,002,1.0
newsgroups:10776,015,1.0
newsgroups:10811,015,0.642561
newsgroups:10811,002,0.357439
newsgroups:10846,015,1.0
newsgroups:10881,015,1.0
newsgroups:10916,002,0.543911
newsgroups:10916,015,0.456089
newsgroups:10951,002,1.0
newsgroups:10986,002,0.632232
newsgroups:10986,000,0.206736
newsgroups:10986,015,0.161032
newsgroups:11021,017,1.0
newsgroups:11056,009,0.293608
newsgroups:11056,017,0.276695
newsgroups:11056,003,0.242037
newsgroups:11056,012,0.163198
newsgroups:11056,005,0.016367
newsgroups:11056,004,0.008096
newsgroups:11091,002,1.0
newsgroups:11126,017,0.703684
newsgroups:11126,002,0.11055
newsgroups:11126,005,0.108636
newsgroups:11126,003,0.07713
newsgroups:11161,017,0.422851
newsgroups:11161,000,0.245451
newsgroups:11161,001,0.161221
newsgroups:11161,012,0.127691
newsgroups:11161,003,0.034675
newsgroups:11161,002,0.00811
newsgroups:11196,001,1.0
newsgroups:11231,000,1.0
newsgroups:11266,000,1.0
newsgroups:11301,001,0.417431
newsgroups:11301,017,0.374849
newsgroups:11301,003,0.20772
newsgroups:11336,002,1.0
newsgroups:11371,017,1.0
newsgroups:11406,017,1.0
newsgroups:11441,000,1.0
newsgroups:11476,017,0.860403
newsgroups:11476,000,0.139597
newsgroups:11511,003,1.0
newsgroups:11546,001,1.0
newsgroups:11587,000,1.0
newsgroups:11622,000,0.600517
newsgroups:11622,017,0.171462
newsgroups:11622,002,0.148181
newsgroups:11622,004,0.054522
newsgroups:11622,003,0.025318
newsgroups:11657,017,0.662285
newsgroups:11657,003,0.238975
newsgroups:11657,002,0.09874
newsgroups:11692,017,1.0
newsgroups:11727,017,0.384174
newsgroups:11727,000,0.27988
newsgroups:11727,001,0.19173
newsgroups:11727,003,0.144216
newsgroups:11762,017,1.0
newsgroups:11797,017,1.0
newsgroups:11832,003,1.0
newsgroups:11867,017,0.429294
newsgroups:11867,003,0.191032
newsgroups:11867,004,0.143841
newsgroups:11867,000,0.092705
newsgroups:11867,007,0.07482
newsgroups:11867,001,0.068309
newsgroups:11902,017,1.0
newsgroups:11937,000,0.392989
newsgroups:11937,002,0.211517
newsgroups:11937,017,0.152725
newsgroups:11937,003,0.097991
newsgroups:11937,001,0.089561
newsgroups:11937,019,0.055217
newsgroups:11972,001,0.295558
newsgroups:11972,017,0.253472
newsgroups:11972,004,0.198273
newsgroups:11972,016,0.11384
newsgroups:11972,000,0.089299
newsgroups:11972,002,0.033981
newsgroups:11972,003,0.015577
newsgroups:12007,003,1.0
newsgroups:12042,010,1.0
newsgroups:12077,004,1.0
newsgroups:12112,004,1.0
newsgroups:12147,003,0.54157
newsgroups:12147,010,0.320529
newsgroups:12147,002,0.137901
newsgroups:12182,003,0.56925
newsgroups:12182,001,0.243176
newsgroups:12182,002,0.187574
newsgroups:12217,004,1.0
newsgroups:12252,003,1.0
newsgroups:12287,001,1.0
newsgroups:12322,004,0.380088
newsgroups:12322,001,0.335759
newsgroups:12322,003,0.284153
newsgroups:12357,001,1.0
newsgroups:12392,002,0.440247
newsgroups:12392,001,0.301234
newsgroups:12392,007,0.202069
newsgroups:12392,003,0.05645
newsgroups:12427,003,1.0
newsgroups:12462,004,1.0
newsgroups:12497,003,0.414626
newsgroups:12497,007,0.329208
newsgroups:12497,015,0.110251
newsgroups:12497,004,0.087948
newsgroups:12497,010,0.057966
newsgroups:12532,016,1.0
newsgroups:12567,002,1.0
newsgroups:12602,003,0.604392
newsgroups:12602,001,0.226857
newsgroups:12602,007,0.168751
newsgroups:12637,003,1.0
newsgroups:12672,019,1.0
newsgroups:12707,008,1.0
newsgroups:12742,004,0.508404
newsgroups:12742,000,0.209166
newsgroups:12742,003,0.094726
newsgroups:12742,008,0.066235
newsgroups:12742,012,0.063954
newsgroups:12742,002,0.057516
newsgroups:12777,003,1.0
newsgroups:12812,007,1.0
newsgroups:12847,003,1.0
newsgroups:12882,003,0.645187
newsgroups:12882,001,0.354815
newsgroups:12917,001,1.0
newsgroups:12952,001,1.0
newsgroups:12987,001,1.0
newsgroups:13022,009,1.0
newsgroups:13057,006,0.317381
newsgroups:13057,008,0.287331
newsgroups:13057,003,0.182588
newsgroups:13057,002,0.120309
newsgroups:13057,000,0.092391
newsgroups:13092,000,0.468451
newsgroups:13092,003,0.344562
newsgroups:13092,002,0.186987
newsgroups:13127,002,0.373508
newsgroups:13127,001,0.320353
newsgroups:13127,000,0.30614
newsgroups:13162,002,1.0
newsgroups:13197,000,0.461803
newsgroups:13197,002,0.376516
newsgroups:13197,004,0.106456
newsgroups:13197,003,0.055225
newsgroups:13232,000,0.383403
newsgroups:13232,002,0.188059
newsgroups:13232,005,0.176329
newsgroups:13232,001,0.146191
newsgroups:13232,003,0.106017
newsgroups:13267,000,0.572503
newsgroups:13267,016,0.196084
newsgroups:13267,003,0.088961
newsgroups:13267,001,0.083579
newsgroups:13267,002,0.058873
newsgroups:13302,000,1.0
newsgroups:13337,000,0.354444
newsgroups:13337,001,0.317786
newsgroups:13337,002,0.228321
newsgroups:13337,003,0.09945
newsgroups:13372,006,1.0
newsgroups:13407,002,0.373137
newsgroups:13407,001,0.284309
newsgroups:13407,000,0.161769
newsgroups:13407,003,0.130561
newsgroups:13407,012,0.050225
newsgroups:13442,001,1.0
newsgroups:13477,003,0.325099
newsgroups:13477,000,0.219791
newsgroups:13477,008,0.193796
newsgroups:13477,011,0.11587
newsgroups:13477,012,0.092017
newsgroups:13477,002,0.053427
newsgroups:13512,006,1.0
newsgroups:13547,003,1.0
newsgroups:13582,002,0.357946
newsgroups:13582,014,0.270151
newsgroups:13582,012,0.14508
newsgroups:13582,003,0.135751
newsgroups:13582,011,0.091072
newsgroups:13617,011,1.0
newsgroups:13652,002,0.49283
newsgroups:13652,001,0.225014
newsgroups:13652,000,0.145662
newsgroups:13652,003,0.136494
newsgroups:13687,002,1.0
newsgroups:13722,002,1.0
newsgroups:13757,002,1.0
newsgroups:13792,003,1.0
newsgroups:13827,000,0.222797
newsgroups:13827,002,0.214679
newsgroups:13827,001,0.201245
newsgroups:13827,006,0.135213
newsgroups:13827,005,0.100166
newsgroups:13827,011,0.069015
newsgroups:13827,003,0.056885
newsgroups:13862,000,1.0
newsgroups:13897,006,1.0
newsgroups:13932,001,1.0
newsgroups:13967,005,0.334987
newsgroups:13967,001,0.231834
newsgroups:13967,012,0.134348
newsgroups:13967,002,0.109139
newsgroups:13967,003,0.094889
newsgroups:13967,000,0.094804
newsgroups:14002,001,1.0
newsgroups:14037,001,1.0
newsgroups:14072,003,1.0
newsgroups:14107,005,1.0
newsgroups:14142,000,1.0
newsgroups:14177,003,1.0
newsgroups:14212,019,1.0
newsgroups:14247,004,1.0
newsgroups:14282,003,1.0
newsgroups:14317,004,0.279193
newsgroups:14317,013,0.239354
newsgroups:14317,001,0.227732
newsgroups:14317,000,0.152511
newsgroups:14317,003,0.101209
newsgroups:14352,003,1.0
newsgroups:14387,001,1.0
newsgroups:14422,002,1.0
newsgroups:14457,003,1.0
newsgroups:14492,000,1.0
newsgroups:14527,000,0.523651
newsgroups:14527,001,0.270643
newsgroups:14527,003,0.145643
newsgroups:14527,016,0.060063
newsgroups:14562,002,1.0
newsgroups:14597,001,0.545008
newsgroups:14597,002,0.219016
newsgroups:14597,004,0.076739
newsgroups:14597,000,0.071775
newsgroups:14597,017,0.053528
newsgroups:14597,003,0.033934
newsgroups:14632,005,1.0
newsgroups:14667,008,1.0
newsgroups:14702,002,1.0
newsgroups:14737,000,1.0
newsgroups:14772,002,1.0
newsgroups:14807,002,0.234245
newsgroups:14807,000,0.233842
newsgroups:14807,001,0.214989
newsgroups:14807,003,0.177691
newsgroups:14807,004,0.09095
newsgroups:14807,016,0.048284
newsgroups:14842,003,1.0
newsgroups:14877,000,1.0
newsgroups:14912,005,1.0
newsgroups:14947,001,1.0
newsgroups:14982,002,0.237945
newsgroups:14982,000,0.202012
newsgroups:14982,001,0.181454
newsgroups:14982,014,0.168346
newsgroups:14982,007,0.122336
newsgroups:14982,012,0.053154
newsgroups:14982,003,0.034752
newsgroups:15017,005,1.0
newsgroups:15052,005,0.793732
newsgroups:15052,002,0.206268
newsgroups:15087,005,1.0
newsgroups:15122,001,1.0
newsgroups:15157,005,0.661685
newsgroups:15157,000,0.179074
newsgroups:15157,003,0.064004
newsgroups:15157,016,0.048549
newsgroups:15157,006,0.046687
newsgroups:15192,000,0.367643
newsgroups:15192,005,0.355183
newsgroups:15192,002,0.118957
newsgroups:15192,003,0.06637
newsgroups:15192,001,0.057838
newsgroups:15192,019,0.03401
newsgroups:15227,006,1.0
newsgroups:15262,005,1.0
newsgroups:15297,005,0.512516
newsgroups:15297,006,0.239807
newsgroups:15297,000,0.147168
newsgroups:15297,002,0.100509
newsgroups:15332,006,0.450714
newsgroups:15332,005,0.427285
newsgroups:15332,002,0.122001
newsgroups:15367,006,0.436241
newsgroups:15367,005,0.346523
newsgroups:15367,016,0.217235
newsgroups:15402,005,1.0
newsgroups:15437,005,0.816235
newsgroups:15437,000,0.148257
newsgroups:15437,003,0.035508
newsgroups:15472,000,0.433248
newsgroups:15472,005,0.416417
newsgroups:15472,016,0.078692
newsgroups:15472,002,0.071643
newsgroups:15507,001,1.0
newsgroups:15542,005,1.0
newsgroups:15577,005,0.578627
newsgroups:15577,000,0.175463
newsgroups:15577,001,0.147465
newsgroups:15577,002,0.098446
newsgroups:15612,006,1.0
newsgroups:15647,006,1.0
newsgroups:15682,005,0.552017
newsgroups:15682,000,0.271474
newsgroups:15682,002,0.089451
newsgroups:15682,003,0.05148
newsgroups:15682,001,0.035578
newsgroups:15717,000,0.49474
newsgroups:15717,001,0.311486
newsgroups:15717,002,0.193773
newsgroups:15752,005,0.693321
newsgroups:15752,000,0.150342
newsgroups:15752,002,0.059843
newsgroups:15752,006,0.057964
newsgroups:15752,004,0.038529
newsgroups:15787,005,0.716689
newsgroups:15787,000,0.10706
newsgroups:15787,016,0.075884
newsgroups:15787,002,0.063246
newsgroups:15787,006,0.025538
newsgroups:15787,003,0.011583
newsgroups:15822,003,1.0
newsgroups:15857,005,0.88323
newsgroups:15857,002,0.069549
newsgroups:15857,001,0.04722
newsgroups:15892,005,0.656745
newsgroups:15892,016,0.196831
newsgroups:15892,000,0.146425
newsgroups:15927,005,0.552735
newsgroups:15927,000,0.229668
newsgroups:15927,008,0.217598
newsgroups:15962,005,0.680249
newsgroups:15962,002,0.214427
newsgroups:15962,006,0.064816
newsgroups:15962,003,0.034367
newsgroups:15962,000,0.006142
newsgroups:15997,005,1.0
newsgroups:16032,000,0.636456
newsgroups:16032,002,0.22641
newsgroups:16032,016,0.137134
newsgroups:16067,002,1.0
newsgroups:16102,008,1.0
newsgroups:16137,000,0.537886
newsgroups:16137,001,0.462114
newsgroups:16172,000,0.694895
newsgroups:16172,002,0.174975
newsgroups:16172,001,0.10708
